Frame#,Time[s],DN,Power[W]
7.500000000000000000e+01,1.875000000000000000e+00,2.303529166123242433e+01,1.044521823275224000e+15
7.600000000000000000e+01,1.899999999999999911e+00,1.867842908427662607e+01,1.125879447929569750e+15
7.700000000000000000e+01,1.925000000000000044e+00,2.718431077407407770e+01,1.279301667215354250e+15
7.800000000000000000e+01,1.949999999999999956e+00,3.167842882871817523e+01,1.422778531640565500e+15
7.900000000000000000e+01,1.975000000000000089e+00,2.863921326453624161e+01,1.519853254952530000e+15
8.000000000000000000e+01,2.000000000000000000e+00,3.193725237941897532e+01,1.512376582523033250e+15
8.100000000000000000e+01,2.024999999999999911e+00,3.343921291158376619e+01,1.547613365978031500e+15
8.200000000000000000e+01,2.049999999999999822e+00,3.296078149065127860e+01,1.534260681922068750e+15
8.300000000000000000e+01,2.075000000000000178e+00,3.161176196330444199e+01,1.482620233640453500e+15
8.400000000000000000e+01,2.100000000000000089e+00,3.073333075059858643e+01,1.446311576143956500e+15
8.500000000000000000e+01,2.125000000000000000e+00,2.920391870566366066e+01,1.360372841569578000e+15
8.600000000000000000e+01,2.149999999999999911e+00,3.001568320196738426e+01,1.253222774594890500e+15
8.700000000000000000e+01,2.174999999999999822e+00,2.401568334513478575e+01,1.130384096622208250e+15
8.800000000000000000e+01,2.200000000000000178e+00,2.133333053282643732e+01,9.940385038883356250e+14
8.900000000000000000e+01,2.225000000000000089e+00,2.145882062092064402e+01,8.901811811552147500e+14
9.000000000000000000e+01,2.250000000000000000e+00,1.787450739624120644e+01,8.206695751868186250e+14
9.100000000000000000e+01,2.274999999999999911e+00,1.563529186264081794e+01,7.213990400513887500e+14
9.200000000000000000e+01,2.299999999999999822e+00,1.544705656658674542e+01,6.615598435343672500e+14
9.300000000000000000e+01,2.325000000000000178e+00,1.324313529442015991e+01,6.732830610095267500e+14
9.400000000000000000e+01,2.350000000000000089e+00,1.423137044224185921e+01,6.837688681881598750e+14
9.500000000000000000e+01,2.375000000000000000e+00,1.489803701021681626e+01,6.692044243951927500e+14
9.600000000000000000e+01,2.399999999999999911e+00,1.425882141857023910e+01,6.293960092898801250e+14
9.700000000000000000e+01,2.424999999999999822e+00,1.221176289808243354e+01,5.540141370034345000e+14
9.800000000000000000e+01,2.450000000000000178e+00,1.079607683314737976e+01,5.014402874545786250e+14
9.900000000000000000e+01,2.475000000000000089e+00,1.062352783908327325e+01,5.006905229265441250e+14
1.000000000000000000e+02,2.500000000000000000e+00,1.065882195150547673e+01,5.087571116335666875e+14
1.010000000000000000e+02,2.524999999999999911e+00,1.084313564971031774e+01,4.993242317557303125e+14
1.020000000000000000e+02,2.549999999999999822e+00,1.103137091596206965e+01,4.932188231009995000e+14
1.030000000000000000e+02,2.575000000000000178e+00,9.505880945713492736e+00,4.842334347185881250e+14
1.040000000000000000e+02,2.600000000000000089e+00,1.043137100478460866e+01,4.939961323117788750e+14
1.050000000000000000e+02,2.625000000000000000e+00,1.087450819408560854e+01,4.806133369384901250e+14
1.060000000000000000e+02,2.649999999999999911e+00,9.635292691261572173e+00,4.411453829149716875e+14
1.070000000000000000e+02,2.674999999999999822e+00,9.494116241572758241e+00,3.968342150726641875e+14
1.080000000000000000e+02,2.700000000000000178e+00,6.905881330611164159e+00,3.704590921119638125e+14
1.090000000000000000e+02,2.725000000000000089e+00,7.976469407418005808e+00,3.540231995094605000e+14
